First-come first-served,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,32,4,29,29,60,0,0,32
102,32,4,44,61,92,17,17,49
103,27,5,101,101,127,0,0,27
104,10,2,134,134,143,0,0,10
105,21,3,159,159,179,0,0,21
106,7,5,190,190,196,0,0,7
107,23,5,225,225,247,0,0,23
108,45,6,238,248,292,10,10,55
109,56,3,270,293,348,23,23,79
110,45,4,306,349,393,43,43,88
111,51,8,355,394,444,39,39,90
112,24,5,397,445,468,48,48,72
113,43,4,408,469,511,61,61,104
114,37,4,451,512,548,61,61,98
115,30,1,477,549,578,72,72,102
116,44,3,521,579,622,58,58,102
117,58,3,557,623,680,66,66,124
118,69,4,587,681,749,94,94,163
119,18,3,630,750,767,120,120,138
120,28,6,658,768,795,110,110,138
121,37,2,706,796,832,90,90,127
122,48,3,735,833,880,98,98,146
123,32,2,764,881,912,117,117,149
124,32,2,786,913,944,127,127,159
125,40,4,820,945,984,125,125,165
126,22,5,862,985,1006,123,123,145
127,41,2,902,1007,1047,105,105,146
128,18,2,932,1048,1065,116,116,134
129,31,0,989,1066,1096,77,77,108
130,14,3,1039,1097,1110,58,58,72
131,60,3,1062,1111,1170,49,49,109
132,45,4,1089,1171,1215,82,82,127
133,26,3,1105,1216,1241,111,111,137
134,82,6,1152,1242,1323,90,90,172
135,3,6,1194,1324,1326,130,130,133
136,17,3,1235,1327,1343,92,92,109
137,12,3,1300,1344,1355,44,44,56
138,59,4,1308,1356,1414,48,48,107
139,48,5,1337,1415,1462,78,78,126
140,26,5,1379,1463,1488,84,84,110
141,8,3,1401,1489,1496,88,88,96
142,21,4,1417,1497,1517,80,80,101
143,23,3,1461,1518,1540,57,57,80
144,42,2,1493,1541,1582,48,48,90
145,20,3,1527,1583,1602,56,56,76
146,51,7,1562,1603,1653,41,41,92
147,50,5,1600,1654,1703,54,54,104
148,22,4,1632,1704,1725,72,72,94
149,40,3,1642,1726,1765,84,84,124
150,48,3,1656,1766,1813,110,110,158
151,22,5,1664,1814,1835,150,150,172
152,43,5,1693,1836,1878,143,143,186
153,39,4,1724,1879,1917,155,155,194
154,65,4,1752,1918,1982,166,166,231
155,23,2,1776,1983,2005,207,207,230
156,48,2,1805,2006,2053,201,201,249
157,60,5,1835,2054,2113,219,219,279
158,38,4,1856,2114,2151,258,258,296
159,35,4,1905,2152,2186,247,247,282
160,17,1,1947,2187,2203,240,240,257
161,25,4,1974,2204,2228,230,230,255
162,13,4,2016,2229,2241,213,213,226
163,81,0,2058,2242,2322,184,184,265
164,38,5,2079,2323,2360,244,244,282
165,20,6,2104,2361,2380,257,257,277
166,46,5,2150,2381,2426,231,231,277
167,35,4,2200,2427,2461,227,227,262
168,31,0,2243,2462,2492,219,219,250
169,29,5,2284,2493,2521,209,209,238
170,34,5,2304,2522,2555,218,218,252
171,32,5,2324,2556,2587,232,232,264
172,68,5,2345,2588,2655,243,243,311
173,24,4,2356,2656,2679,300,300,324
174,49,4,2396,2680,2728,284,284,333
175,56,4,2445,2729,2784,284,284,340
176,51,3,2484,2785,2835,301,301,352
177,14,4,2542,2836,2849,294,294,308
178,34,4,2573,2850,2883,277,277,311
179,43,5,2606,2884,2926,278,278,321
180,41,4,2629,2927,2967,298,298,339
181,51,3,2677,2968,3018,291,291,342
182,17,2,2713,3019,3035,306,306,323
183,43,3,2761,3036,3078,275,275,318
184,27,2,2792,3079,3105,287,287,314
185,56,3,2822,3106,3161,284,284,340
186,43,3,2844,3162,3204,318,318,361
187,50,3,2874,3205,3254,331,331,381
188,14,7,2910,3255,3268,345,345,359
189,33,0,2943,3269,3301,326,326,359
190,23,4,2980,3302,3324,322,322,345
191,39,4,3048,3325,3363,277,277,316
192,15,0,3102,3364,3378,262,262,277
193,46,4,3130,3379,3424,249,249,295
194,13,5,3175,3425,3437,250,250,263
195,52,4,3194,3438,3489,244,244,296
196,18,2,3240,3490,3507,250,250,268
197,22,1,3279,3508,3529,229,229,251
198,72,6,3322,3530,3601,208,208,280
199,35,6,3353,3602,3636,249,249,284
200,43,2,3388,3637,3679,249,249,292
,,,,,,,,
,,,,,Min,0,0,7
,,,,,Mean,159.17,159.17,195.01
,,,,,Max,345,345,381
,,,,,StdDev,101.99,101.99,104.03
