Multi-level Priority Algorithm (SJF, RR, 2xRR),,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,32,4,29,29,120,60,0,92
102,32,4,44,45,151,76,1,108
103,27,5,101,103,213,86,2,113
104,10,2,134,134,143,0,0,10
105,21,3,159,159,179,0,0,21
106,7,5,190,191,209,13,1,20
107,23,5,225,225,340,93,0,116
108,45,6,238,239,397,115,1,160
109,56,3,270,270,325,0,0,56
110,45,4,306,326,426,76,20,121
111,51,8,355,1570,3623,3218,1215,3269
112,24,5,397,399,451,31,2,55
113,43,4,408,409,654,204,1,247
114,37,4,451,453,693,206,2,243
115,30,1,477,477,506,0,0,30
116,44,3,521,521,564,0,0,44
117,58,3,557,565,622,8,8,66
118,69,4,587,623,1181,526,36,595
119,18,3,630,630,647,0,0,18
120,28,6,658,659,891,206,1,234
121,37,2,706,706,742,0,0,37
122,48,3,735,743,790,8,8,56
123,32,2,764,823,854,59,59,91
124,32,2,786,791,822,5,5,37
125,40,4,820,855,1160,301,35,341
126,22,5,862,864,1024,141,2,163
127,41,2,902,902,942,0,0,41
128,18,2,932,943,960,11,11,29
129,31,0,989,989,1019,0,0,31
130,14,3,1039,1039,1052,0,0,14
131,60,3,1062,1062,1121,0,0,60
132,45,4,1089,1148,1266,133,59,178
133,26,3,1105,1122,1147,17,17,43
134,82,6,1152,1154,1328,95,2,177
135,3,6,1194,1195,1201,5,1,8
136,17,3,1235,1235,1251,0,0,17
137,12,3,1300,1300,1311,0,0,12
138,59,4,1308,1313,1484,118,5,177
139,48,5,1337,1337,1558,174,0,222
140,26,5,1379,1380,1562,158,1,184
141,8,3,1401,1401,1408,0,0,8
142,21,4,1417,1419,1567,130,2,151
143,23,3,1461,1461,1483,0,0,23
144,42,2,1493,1493,1534,0,0,42
145,20,3,1527,1535,1554,8,8,28
146,51,7,1562,1568,3596,1984,6,2035
147,50,5,1600,1600,1883,234,0,284
148,22,4,1632,1632,1912,259,0,281
149,40,3,1642,1642,1681,0,0,40
150,48,3,1656,1682,1729,26,26,74
151,22,5,1664,1730,1940,255,66,277
152,43,5,1693,1731,2210,475,38,518
153,39,4,1724,1732,2172,410,8,449
154,65,4,1752,1756,2560,744,4,809
155,23,2,1776,1776,1798,0,0,23
156,48,2,1805,1805,1852,0,0,48
157,60,5,1835,1857,2552,658,22,718
158,38,4,1856,1862,2289,396,6,434
159,35,4,1905,1911,2333,394,6,429
160,17,1,1947,1947,1963,0,0,17
161,25,4,1974,1979,2305,307,5,332
162,13,4,2016,2022,2213,185,6,198
163,81,0,2058,2058,2138,0,0,81
164,38,5,2079,2145,2626,510,66,548
165,20,6,2104,2146,2362,239,42,259
166,46,5,2150,2159,3045,850,9,896
167,35,4,2200,2209,2655,421,9,456
168,31,0,2243,2243,2273,0,0,31
169,29,5,2284,2291,2639,327,7,356
170,34,5,2304,2311,3037,700,7,734
171,32,5,2324,2332,3039,684,8,716
172,68,5,2345,2353,3463,1051,8,1119
173,24,4,2356,2364,2752,373,8,397
174,49,4,2396,2405,3311,867,9,916
175,56,4,2445,2455,3465,965,10,1021
176,51,3,2484,2484,2534,0,0,51
177,14,4,2542,2563,3029,474,21,488
178,34,4,2573,2583,3276,670,10,704
179,43,5,2606,2617,3379,731,11,774
180,41,4,2629,2651,3434,765,22,806
181,51,3,2677,2677,2727,0,0,51
182,17,2,2713,2728,2744,15,15,32
183,43,3,2761,2761,2803,0,0,43
184,27,2,2792,2804,2830,12,12,39
185,56,3,2822,2831,2886,9,9,65
186,43,3,2844,2887,2929,43,43,86
187,50,3,2874,2930,2979,56,56,106
188,14,7,2910,3541,3593,670,631,684
189,33,0,2943,2980,3012,37,37,70
190,23,4,2980,3021,3268,266,41,289
191,39,4,3048,3054,3470,384,6,423
192,15,0,3102,3102,3116,0,0,15
193,46,4,3130,3137,3524,349,7,395
194,13,5,3175,3183,3337,150,8,163
195,52,4,3194,3203,3539,294,9,346
196,18,2,3240,3240,3257,0,0,18
197,22,1,3279,3279,3300,0,0,22
198,72,6,3322,30,265,0,-3292,72
199,35,6,3353,3359,3535,148,6,183
200,43,2,3388,3388,3430,0,0,43
,,,,,,,,
,,,,,Min,0,-3292,8
,,,,,Mean,246.68,-4.67,282.52
,,,,,Max,3218,1215,3269
,,,,,StdDev,436.00,358.78,440.42
