Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,32,4,29,29,60,0,0,32
102,32,4,44,61,92,17,17,49
103,27,5,101,101,127,0,0,27
104,10,2,134,134,143,0,0,10
105,21,3,159,159,179,0,0,21
106,7,5,190,190,196,0,0,7
107,23,5,225,225,247,0,0,23
108,45,6,238,248,292,10,10,55
109,56,3,270,293,348,23,23,79
110,45,4,306,349,393,43,43,88
111,51,8,355,394,444,39,39,90
112,24,5,397,1023,1046,626,626,650
113,43,4,408,445,487,37,37,80
114,37,4,451,518,554,67,67,104
115,30,1,477,488,517,11,11,41
116,44,3,521,555,598,34,34,78
117,58,3,557,599,656,42,42,100
118,69,4,587,675,743,88,88,157
119,18,3,630,657,674,27,27,45
120,28,6,658,1575,1602,917,917,945
121,37,2,706,744,780,38,38,75
122,48,3,735,845,892,110,110,158
123,32,2,764,781,812,17,17,49
124,32,2,786,813,844,27,27,59
125,40,4,820,893,932,73,73,113
126,22,5,862,1061,1082,199,199,221
127,41,2,902,933,973,31,31,72
128,18,2,932,974,991,42,42,60
129,31,0,989,992,1022,3,3,34
130,14,3,1039,1047,1060,8,8,22
131,60,3,1062,1083,1142,21,21,81
132,45,4,1089,1169,1213,80,80,125
133,26,3,1105,1143,1168,38,38,64
134,82,6,1152,1217,1298,65,65,147
135,3,6,1194,1214,1216,20,20,23
136,17,3,1235,1299,1315,64,64,81
137,12,3,1300,1316,1327,16,16,28
138,59,4,1308,1328,1386,20,20,79
139,48,5,1337,1442,1489,105,105,153
140,26,5,1379,1387,1412,8,8,34
141,8,3,1401,1413,1420,12,12,20
142,21,4,1417,1421,1441,4,4,25
143,23,3,1461,1490,1512,29,29,52
144,42,2,1493,1513,1554,20,20,62
145,20,3,1527,1555,1574,28,28,48
146,51,7,1562,3629,3679,2067,2067,2118
147,50,5,1600,1603,1652,3,3,53
148,22,4,1632,1741,1762,109,109,131
149,40,3,1642,1653,1692,11,11,51
150,48,3,1656,1693,1740,37,37,85
151,22,5,1664,2147,2168,483,483,505
152,43,5,1693,2353,2395,660,660,703
153,39,4,1724,2014,2052,290,290,329
154,65,4,1752,1763,1827,11,11,76
155,23,2,1776,1828,1850,52,52,75
156,48,2,1805,1851,1898,46,46,94
157,60,5,1835,3324,3383,1489,1489,1549
158,38,4,1856,1899,1936,43,43,81
159,35,4,1905,1937,1971,32,32,67
160,17,1,1947,1972,1988,25,25,42
161,25,4,1974,1989,2013,15,15,40
162,13,4,2016,2053,2065,37,37,50
163,81,0,2058,2066,2146,8,8,89
164,38,5,2079,2281,2318,202,202,240
165,20,6,2104,3560,3579,1456,1456,1476
166,46,5,2150,2169,2214,19,19,65
167,35,4,2200,2215,2249,15,15,50
168,31,0,2243,2250,2280,7,7,38
169,29,5,2284,3384,3412,1100,1100,1129
170,34,5,2304,2319,2352,15,15,49
171,32,5,2324,3456,3487,1132,1132,1164
172,68,5,2345,2624,2691,279,279,347
173,24,4,2356,2396,2419,40,40,64
174,49,4,2396,2420,2468,24,24,73
175,56,4,2445,2469,2524,24,24,80
176,51,3,2484,2525,2575,41,41,92
177,14,4,2542,2576,2589,34,34,48
178,34,4,2573,2590,2623,17,17,51
179,43,5,2606,3176,3218,570,570,613
180,41,4,2629,2760,2800,131,131,172
181,51,3,2677,2692,2742,15,15,66
182,17,2,2713,2743,2759,30,30,47
183,43,3,2761,2828,2870,67,67,110
184,27,2,2792,2801,2827,9,9,36
185,56,3,2822,2871,2926,49,49,105
186,43,3,2844,2927,2969,83,83,126
187,50,3,2874,3003,3052,129,129,179
188,14,7,2910,3615,3628,705,705,719
189,33,0,2943,2970,3002,27,27,60
190,23,4,2980,3053,3075,73,73,96
191,39,4,3048,3076,3114,28,28,67
192,15,0,3102,3115,3129,13,13,28
193,46,4,3130,3130,3175,0,0,46
194,13,5,3175,3311,3323,136,136,149
195,52,4,3194,3219,3270,25,25,77
196,18,2,3240,3271,3288,31,31,49
197,22,1,3279,3289,3310,10,10,32
198,72,6,3322,3488,3559,166,166,238
199,35,6,3353,3580,3614,227,227,262
200,43,2,3388,3413,3455,25,25,68
,,,,,,,,
,,,,,Min,0,0,7
,,,,,Mean,154.31,154.31,190.15
,,,,,Max,2067,2067,2118
,,,,,StdDev,347.38,347.38,348.49
