Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,32,4,29,29,60,0,0,32
102,32,4,44,61,92,17,17,49
103,27,5,101,101,127,0,0,27
104,10,2,134,134,143,0,0,10
105,21,3,159,159,179,0,0,21
106,7,5,190,190,196,0,0,7
107,23,5,225,225,247,0,0,23
108,45,6,238,248,393,111,10,156
109,56,3,270,270,325,0,0,56
110,45,4,306,326,370,20,20,65
111,51,8,355,394,3679,3274,39,3325
112,24,5,397,397,970,550,0,574
113,43,4,408,408,450,0,0,43
114,37,4,451,451,517,30,0,67
115,30,1,477,477,506,0,0,30
116,44,3,521,521,564,0,0,44
117,58,3,557,565,622,8,8,66
118,69,4,587,623,858,203,36,272
119,18,3,630,630,647,0,0,18
120,28,6,658,1021,1295,610,363,638
121,37,2,706,706,742,0,0,37
122,48,3,735,743,854,72,8,120
123,32,2,764,764,795,0,0,32
124,32,2,786,796,827,10,10,42
125,40,4,820,859,898,39,39,79
126,22,5,862,899,1020,137,37,159
127,41,2,902,902,942,0,0,41
128,18,2,932,943,960,11,11,29
129,31,0,989,989,1019,0,0,31
130,14,3,1039,1039,1052,0,0,14
131,60,3,1062,1062,1121,0,0,60
132,45,4,1089,1148,1192,59,59,104
133,26,3,1105,1122,1147,17,17,43
134,82,6,1152,1193,1294,61,41,143
135,3,6,1194,1252,1254,58,58,61
136,17,3,1235,1235,1251,0,0,17
137,12,3,1300,1300,1311,0,0,12
138,59,4,1308,1312,1370,4,4,63
139,48,5,1337,1371,1447,63,34,111
140,26,5,1379,1448,1558,154,69,180
141,8,3,1401,1401,1408,0,0,8
142,21,4,1417,1417,1437,0,0,21
143,23,3,1461,1461,1483,0,0,23
144,42,2,1493,1493,1534,0,0,42
145,20,3,1527,1535,1554,8,8,28
146,51,7,1562,1562,3624,2012,0,2063
147,50,5,1600,1600,2609,960,0,1010
148,22,4,1632,1632,1741,88,0,110
149,40,3,1642,1642,1681,0,0,40
150,48,3,1656,1682,1729,26,26,74
151,22,5,1664,3463,3484,1799,1799,1821
152,43,5,1693,2139,2181,446,446,489
153,39,4,1724,1742,1803,41,18,80
154,65,4,1752,1804,1916,100,52,165
155,23,2,1776,1776,1798,0,0,23
156,48,2,1805,1805,1852,0,0,48
157,60,5,1835,2045,3450,1556,210,1616
158,38,4,1856,1917,1971,78,61,116
159,35,4,1905,1972,2006,67,67,102
160,17,1,1947,1947,1963,0,0,17
161,25,4,1974,2007,2031,33,33,58
162,13,4,2016,2032,2044,16,16,29
163,81,0,2058,2058,2138,0,0,81
164,38,5,2079,2182,2285,169,103,207
165,20,6,2104,3557,3576,1453,1453,1473
166,46,5,2150,2286,2331,136,136,182
167,35,4,2200,2200,2234,0,0,35
168,31,0,2243,2243,2273,0,0,31
169,29,5,2284,2670,3322,1010,386,1039
170,34,5,2304,2745,3360,1023,441,1057
171,32,5,2324,2332,2607,252,8,284
172,68,5,2345,2610,3357,945,265,1013
173,24,4,2356,2356,2379,0,0,24
174,49,4,2396,2396,2444,0,0,49
175,56,4,2445,2445,2551,51,0,107
176,51,3,2484,2484,2534,0,0,51
177,14,4,2542,2552,2565,10,10,24
178,34,4,2573,2573,2606,0,0,34
179,43,5,2606,3117,3462,814,511,857
180,41,4,2629,2629,2669,0,0,41
181,51,3,2677,2677,2744,17,0,68
182,17,2,2713,2713,2729,0,0,17
183,43,3,2761,2761,2830,27,0,70
184,27,2,2792,2792,2818,0,0,27
185,56,3,2822,2831,2886,9,9,65
186,43,3,2844,2887,2929,43,43,86
187,50,3,2874,2930,3012,89,56,139
188,14,7,2910,3625,3638,715,715,729
189,33,0,2943,2943,2975,0,0,33
190,23,4,2980,3013,3035,33,33,56
191,39,4,3048,3048,3086,0,0,39
192,15,0,3102,3102,3116,0,0,15
193,46,4,3130,3130,3175,0,0,46
194,13,5,3175,3264,3276,89,89,102
195,52,4,3194,3194,3263,18,0,70
196,18,2,3240,3240,3257,0,0,18
197,22,1,3279,3279,3300,0,0,22
198,72,6,3322,3485,3556,163,163,235
199,35,6,3353,3577,3611,224,224,259
200,43,2,3388,3388,3430,0,0,43
,,,,,,,,
,,,,,Min,0,0,7
,,,,,Mean,200.28,82.61,236.12
,,,,,Max,3274,1799,3325
,,,,,StdDev,500.66,253.88,503.02
