Round Robin,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,32,4,29,29,77,17,0,49
102,32,4,44,44,92,17,0,49
103,27,5,101,101,127,0,0,27
104,10,2,134,134,143,0,0,10
105,21,3,159,159,179,0,0,21
106,7,5,190,190,196,0,0,7
107,23,5,225,225,257,10,0,33
108,45,6,238,238,320,38,0,83
109,56,3,270,270,387,62,0,118
110,45,4,306,307,420,70,1,115
111,51,8,355,356,507,102,1,153
112,24,5,397,401,498,78,4,102
113,43,4,408,410,590,140,2,183
114,37,4,451,453,599,112,2,149
115,30,1,477,480,581,75,3,105
116,44,3,521,523,683,119,2,163
117,58,3,557,560,829,215,3,273
118,69,4,587,611,974,319,24,388
119,18,3,630,632,716,69,2,87
120,28,6,658,661,764,79,3,107
121,37,2,706,709,969,227,3,264
122,48,3,735,738,982,200,3,248
123,32,2,764,768,929,134,4,166
124,32,2,786,790,1009,192,4,224
125,40,4,820,825,1071,212,5,252
126,22,5,862,867,1002,119,5,141
127,41,2,902,908,1159,217,6,258
128,18,2,932,947,1032,83,15,101
129,31,0,989,1010,1142,123,21,154
130,14,3,1039,1048,1118,66,9,80
131,60,3,1062,1065,1328,207,3,267
132,45,4,1089,1092,1249,116,3,161
133,26,3,1105,1109,1268,138,4,164
134,82,6,1152,1160,1430,197,8,279
135,3,6,1194,1197,1207,11,3,14
136,17,3,1235,1238,1318,67,3,84
137,12,3,1300,1302,1335,24,2,36
138,59,4,1308,1311,1584,218,3,277
139,48,5,1337,1347,1531,147,10,195
140,26,5,1379,1381,1514,110,2,136
141,8,3,1401,1404,1437,29,3,37
142,21,4,1417,1421,1552,115,4,137
143,23,3,1461,1464,1551,68,3,91
144,42,2,1493,1497,1689,155,4,197
145,20,3,1527,1534,1601,55,7,75
146,51,7,1562,1569,1861,249,7,300
147,50,5,1600,1602,1924,275,2,325
148,22,4,1632,1634,1795,142,2,164
149,40,3,1642,1645,2043,362,3,402
150,48,3,1656,1660,2222,519,4,567
151,22,5,1664,1669,1767,82,5,104
152,43,5,1693,1707,2089,354,14,397
153,39,4,1724,1730,2069,307,6,346
154,65,4,1752,1759,2412,596,7,661
155,23,2,1776,1792,2055,257,16,280
156,48,2,1805,1821,2511,659,16,707
157,60,5,1835,1843,2378,484,8,544
158,38,4,1856,1865,2418,525,9,563
159,35,4,1905,1914,2282,343,9,378
160,17,1,1947,1956,2184,221,9,238
161,25,4,1974,1984,2359,361,10,386
162,13,4,2016,2027,2220,192,11,205
163,81,0,2058,2076,3106,968,18,1049
164,38,5,2079,2105,2556,440,26,478
165,20,6,2104,2123,2273,150,19,170
166,46,5,2150,2161,2631,436,11,482
167,35,4,2200,2218,2668,434,18,469
168,31,0,2243,2262,2609,336,19,367
169,29,5,2284,2302,2620,308,18,337
170,34,5,2304,2322,2561,224,18,258
171,32,5,2324,2335,2725,370,11,402
172,68,5,2345,2357,3361,949,12,1017
173,24,4,2356,2369,2614,235,13,259
174,49,4,2396,2408,3032,588,12,637
175,56,4,2445,2461,3044,544,16,600
176,51,3,2484,2496,3364,830,12,881
177,14,4,2542,2554,2641,86,12,100
178,34,4,2573,2600,3144,538,27,572
179,43,5,2606,2618,3352,704,12,747
180,41,4,2629,2669,3073,404,40,445
181,51,3,2677,2697,3534,807,20,858
182,17,2,2713,2722,2932,203,9,220
183,43,3,2761,2770,3291,488,9,531
184,27,2,2792,2802,3264,446,10,473
185,56,3,2822,2833,3660,783,11,839
186,43,3,2844,2856,3480,594,12,637
187,50,3,2874,2887,3482,559,13,609
188,14,7,2910,2924,3181,258,14,272
189,33,0,2943,2966,3238,263,23,296
190,23,4,2980,2995,3250,248,15,271
191,39,4,3048,3084,3585,499,36,538
192,15,0,3102,3116,3412,296,14,311
193,46,4,3130,3146,3548,373,16,419
194,13,5,3175,3189,3440,253,14,266
195,52,4,3194,3217,3680,435,23,487
196,18,2,3240,3254,3426,169,14,187
197,22,1,3279,3310,3612,312,31,334
198,72,6,3322,3335,3655,262,13,334
199,35,6,3353,3367,3670,283,14,318
200,43,2,3388,3416,3607,177,28,220
,,,,,,,,
,,,,,Min,0,0,7
,,,,,Mean,269.32,9.75,305.17
,,,,,Max,968,40,1049
,,,,,StdDev,220.25,8.41,229.93
