Shortest job first,,,,,,,,
PID,Burst,Priority,Arrival,Start,Finish,Wait,Response,Turnaround
101,32,4,29,29,60,0,0,32
102,32,4,44,61,92,17,17,49
103,27,5,101,101,127,0,0,27
104,10,2,134,134,143,0,0,10
105,21,3,159,159,179,0,0,21
106,7,5,190,190,196,0,0,7
107,23,5,225,225,247,0,0,23
108,45,6,238,248,292,10,10,55
109,56,3,270,293,348,23,23,79
110,45,4,306,349,393,43,43,88
111,51,8,355,394,622,217,39,268
112,24,5,397,397,420,0,0,24
113,43,4,408,421,463,13,13,56
114,37,4,451,464,500,13,13,50
115,30,1,477,501,530,24,24,54
116,44,3,521,531,574,10,10,54
117,58,3,557,623,726,112,66,170
118,69,4,587,1028,1110,455,441,524
119,18,3,630,630,647,0,0,18
120,28,6,658,658,685,0,0,28
121,37,2,706,727,763,21,21,58
122,48,3,735,890,937,155,155,203
123,32,2,764,764,795,0,0,32
124,32,2,786,796,827,10,10,42
125,40,4,820,828,867,8,8,48
126,22,5,862,868,889,6,6,28
127,41,2,902,956,996,54,54,95
128,18,2,932,938,955,6,6,24
129,31,0,989,997,1027,8,8,39
130,14,3,1039,1039,1052,0,0,14
131,60,3,1062,1182,1244,123,120,183
132,45,4,1089,1137,1181,48,48,93
133,26,3,1105,1111,1136,6,6,32
134,82,6,1152,1262,1355,122,110,204
135,3,6,1194,1194,1196,0,0,3
136,17,3,1235,1245,1261,10,10,27
137,12,3,1300,1300,1311,0,0,12
138,59,4,1308,1459,1602,236,151,295
139,48,5,1337,1356,1403,19,19,67
140,26,5,1379,1412,1437,33,33,59
141,8,3,1401,1404,1411,3,3,11
142,21,4,1417,1438,1458,21,21,42
143,23,3,1461,1461,1483,0,0,23
144,42,2,1493,1493,1534,0,0,42
145,20,3,1527,1535,1554,8,8,28
146,51,7,1562,2066,2116,504,504,555
147,50,5,1600,1603,1652,3,3,53
148,22,4,1632,1653,1674,21,21,43
149,40,3,1642,1697,1736,55,55,95
150,48,3,1656,1842,1889,186,186,234
151,22,5,1664,1675,1696,11,11,33
152,43,5,1693,1799,1841,106,106,149
153,39,4,1724,1737,1775,13,13,52
154,65,4,1752,3316,3380,1564,1564,1629
155,23,2,1776,1776,1798,0,0,23
156,48,2,1805,2005,2065,213,200,261
157,60,5,1835,3090,3164,1270,1255,1330
158,38,4,1856,1890,1927,34,34,72
159,35,4,1905,1928,1962,23,23,58
160,17,1,1947,1963,1979,16,16,33
161,25,4,1974,1980,2004,6,6,31
162,13,4,2016,2016,2028,0,0,13
163,81,0,2058,3599,3679,1541,1541,1622
164,38,5,2079,2137,2174,58,58,96
165,20,6,2104,2117,2136,13,13,33
166,46,5,2150,2175,2220,25,25,71
167,35,4,2200,2221,2255,21,21,56
168,31,0,2243,2256,2286,13,13,44
169,29,5,2284,2287,2315,3,3,32
170,34,5,2304,2316,2349,12,12,46
171,32,5,2324,2350,2405,50,26,82
172,68,5,2345,3459,3526,1114,1114,1182
173,24,4,2356,2356,2379,0,0,24
174,49,4,2396,2406,2454,10,10,59
175,56,4,2445,2455,2510,10,10,66
176,51,3,2484,2511,2575,41,27,92
177,14,4,2542,2542,2555,0,0,14
178,34,4,2573,2576,2609,3,3,37
179,43,5,2606,2610,2652,4,4,47
180,41,4,2629,2653,2693,24,24,65
181,51,3,2677,2694,2761,34,17,85
182,17,2,2713,2713,2729,0,0,17
183,43,3,2761,2762,2804,1,1,44
184,27,2,2792,2805,2831,13,13,40
185,56,3,2822,2832,2944,67,10,123
186,43,3,2844,2844,2886,0,0,43
187,50,3,2874,2978,3050,127,104,177
188,14,7,2910,2910,2923,0,0,14
189,33,0,2943,2945,2977,2,2,35
190,23,4,2980,2980,3002,0,0,23
191,39,4,3048,3051,3089,3,3,42
192,15,0,3102,3102,3116,0,0,15
193,46,4,3130,3165,3223,48,35,94
194,13,5,3175,3175,3187,0,0,13
195,52,4,3194,3224,3293,48,30,100
196,18,2,3240,3240,3257,0,0,18
197,22,1,3279,3294,3315,15,15,37
198,72,6,3322,3527,3598,205,205,277
199,35,6,3353,3381,3415,28,28,63
200,43,2,3388,3416,3458,28,28,71
,,,,,,,,
,,,,,Min,0,0,3
,,,,,Mean,94.2,88.88,130.04
,,,,,Max,1564,1564,1629
,,,,,StdDev,277.19,276.02,286.47
