Round Robin,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,42,4,5,5,110,64,0,106
102,42,4,13,25,619,565,12,607
103,37,5,46,47,198,116,1,153
104,20,2,55,57,330,256,2,276
105,31,3,56,59,824,738,3,769
106,17,5,63,67,287,208,4,225
107,33,5,74,79,1229,1123,5,1156
108,55,6,84,90,1708,1570,6,1625
109,66,3,92,99,9202,9045,7,9111
110,55,4,104,112,6773,6615,8,6670
111,61,8,129,148,8772,8583,19,8644
112,34,5,147,156,2192,2012,9,2046
113,53,4,159,169,7285,7074,10,7127
114,47,4,178,189,1694,1470,11,1517
115,40,1,180,192,4232,4013,12,4053
116,54,3,200,212,3360,3107,12,3161
117,68,3,212,244,7286,7007,32,7076
118,79,4,218,246,10003,9707,28,9786
119,28,3,237,252,490,226,15,254
120,38,6,241,257,4533,4255,16,4293
121,47,2,265,282,7321,7010,17,7057
122,58,3,270,288,5130,4803,18,4861
123,42,2,275,294,6013,5697,19,5739
124,42,2,276,296,6025,5708,20,5750
125,50,4,286,307,7641,7306,21,7356
126,32,5,304,344,3801,3466,40,3498
127,51,2,320,352,6199,5829,32,5880
128,28,2,326,353,2935,2582,27,2610
129,41,0,359,398,5388,4989,39,5030
130,24,3,385,409,2429,2021,24,2045
131,70,3,385,410,10702,10248,25,10318
132,55,4,388,414,7508,7066,26,7121
133,36,3,395,422,5347,4917,27,4953
134,92,6,418,446,10276,9767,28,9859
135,13,6,436,465,1181,733,29,746
136,27,3,453,483,3629,3150,30,3177
137,22,3,494,543,680,165,49,187
138,69,4,509,559,9993,9416,50,9485
139,58,5,514,565,7329,6758,51,6816
140,36,5,532,575,6598,6031,43,6067
141,18,3,533,576,2139,1589,43,1608
142,31,4,540,577,5163,4593,37,4625
143,33,3,560,596,5841,5249,36,5282
144,52,2,568,605,10031,9412,37,9464
145,30,3,578,616,5162,4555,38,4585
146,61,7,589,628,10207,9558,39,9619
147,60,5,603,643,10945,10283,40,10343
148,32,4,611,652,5942,5300,41,5332
149,50,3,624,702,9150,8477,78,8527
150,58,3,633,712,10711,10021,79,10079
151,32,5,648,728,6156,5477,80,5509
152,53,5,653,734,10070,9365,81,9418
153,49,4,660,742,10555,9847,82,9896
154,75,4,664,746,8853,8115,82,8190
155,33,2,664,747,6624,5928,83,5961
156,58,2,669,748,11358,10632,79,10690
157,70,5,675,749,11727,10983,74,11053
158,48,4,677,750,10447,9723,73,9771
159,45,4,702,752,9589,8843,50,8889
160,27,1,720,771,5056,4310,51,4337
161,35,4,723,775,7316,6559,52,6594
162,23,4,741,794,4159,3396,53,3419
163,91,0,759,813,11431,10582,54,10673
164,48,5,761,816,5793,4985,55,5034
165,30,6,762,818,6075,5284,56,5314
166,56,5,784,841,8108,7269,57,7325
167,45,4,810,868,7431,6577,58,6622
168,41,0,829,906,9253,8384,77,8425
169,39,5,846,924,5904,5020,78,5059
170,44,5,849,928,9292,8400,79,8444
171,42,5,852,932,9505,8612,80,8654
172,78,5,854,935,9839,8908,81,8986
173,34,4,866,948,7745,6846,82,6880
174,59,4,882,965,9705,8765,83,8824
175,66,4,907,972,10713,9741,65,9807
176,61,3,922,988,9804,8822,66,8883
177,24,4,956,1023,5208,4229,67,4253
178,44,4,963,1031,10471,9465,68,9509
179,53,5,972,1041,9741,8717,69,8770
180,51,4,972,1042,9752,8730,70,8781
181,61,3,996,1067,8128,7072,71,7133
182,27,2,1008,1080,2317,1283,72,1310
183,53,3,1032,1105,10219,9135,73,9188
184,37,2,1039,1113,8960,7885,74,7922
185,66,3,1045,1120,9760,8650,75,8716
186,53,3,1046,1122,10724,9626,76,9679
187,60,3,1052,1129,10782,9671,77,9731
188,24,7,1064,1142,5635,4548,78,4572
189,43,0,1073,1152,6217,5102,79,5145
190,33,4,1086,1166,8191,7073,80,7106
191,49,4,1130,1211,10285,9107,81,9156
192,25,0,1160,1242,6251,5067,82,5092
193,56,4,1164,1247,11140,9921,83,9977
194,23,5,1185,1287,5792,4585,102,4608
195,62,4,1189,1292,10897,9647,103,9709
196,28,2,1211,1315,7307,6069,104,6097
197,32,1,1226,1331,8360,7103,105,7135
198,82,6,1245,1369,11107,9781,124,9863
199,45,6,1252,1377,7910,6614,125,6659
200,53,2,1263,1389,8899,7584,126,7637
201,51,5,1274,1394,8473,7149,120,7200
202,40,0,1285,1395,10457,9133,110,9173
203,52,4,1285,1396,10610,9274,111,9326
204,70,4,1298,1409,9687,8320,111,8390
205,54,0,1328,1440,7649,6268,112,6322
206,35,4,1355,1450,6527,5138,95,5173
207,46,2,1368,1463,11445,10032,95,10078
208,37,4,1381,1477,8858,7441,96,7478
209,57,5,1384,1481,11035,9595,97,9652
210,43,4,1385,1483,10571,9144,98,9187
211,56,3,1403,1502,9971,8513,99,8569
212,53,2,1403,1503,10194,8739,100,8792
213,42,3,1430,1531,7562,6091,101,6133
214,25,5,1452,1554,6530,5054,102,5079
215,68,1,1459,1562,11625,10099,103,10167
216,46,4,1475,1579,7725,6205,104,6251
217,74,4,1480,1585,11352,9799,105,9873
218,72,4,1487,1593,11185,9627,106,9699
219,45,4,1500,1607,11489,9945,107,9990
220,26,4,1503,1611,6943,5415,108,5441
221,50,1,1520,1629,8755,7186,109,7236
222,13,3,1539,1649,4101,2550,110,2563
223,41,0,1541,1652,6478,4897,111,4938
224,67,0,1558,1670,11545,9921,112,9988
225,39,4,1564,1677,10836,9234,113,9273
226,35,3,1571,1685,9534,7929,114,7964
227,34,3,1595,1710,9587,7959,115,7993
228,54,6,1600,1716,9154,7501,116,7555
229,42,3,1601,1718,6923,5281,117,5323
230,45,4,1618,1736,11503,9841,118,9886
231,46,2,1630,1749,8071,6396,119,6442
232,75,4,1646,1766,10502,8782,120,8858
233,41,4,1651,1772,6742,5051,121,5092
234,44,3,1663,1785,8588,6882,122,6926
235,20,4,1666,1789,6172,4487,123,4507
236,36,4,1670,1794,10360,8655,124,8691
237,48,2,1698,1841,8649,6904,143,6952
238,66,4,1704,1848,11718,9949,144,10015
239,40,3,1709,1854,7998,6250,145,6290
240,29,2,1717,1881,8695,6950,164,6979
241,52,3,1723,1888,9590,7816,165,7868
242,73,4,1727,1893,11488,9689,166,9762
243,19,3,1736,1903,6068,4314,167,4333
244,50,5,1740,1908,9650,7861,168,7911
245,36,0,1757,1926,10477,8685,169,8722
246,58,4,1785,1955,10037,8195,170,8253
247,30,6,1798,1969,9083,7256,171,7286
248,60,4,1810,1982,10976,9107,172,9167
249,75,4,1811,1984,11735,9850,173,9925
250,2,2,1815,1989,2138,322,174,324
251,52,2,1834,1996,9893,8008,162,8060
252,72,6,1846,2003,10150,8233,157,8305
253,42,3,1855,2013,7983,6087,158,6129
254,76,4,1875,2015,11059,9109,140,9185
255,35,4,1894,2035,5537,3609,141,3644
256,47,5,1907,2049,11509,9556,142,9603
257,66,4,1914,2057,10687,8708,143,8774
258,30,3,1930,2074,9255,7296,144,7326
259,56,3,1943,2088,10902,8904,145,8960
260,39,1,1962,2108,6781,4781,146,4820
261,52,3,1972,2119,10092,8069,147,8121
262,59,3,2008,2156,11792,9726,148,9785
263,59,4,2013,2162,11039,8968,149,9027
264,80,5,2032,2182,11598,9487,150,9567
265,49,6,2032,2183,11229,9149,151,9198
266,71,6,2049,2201,11501,9382,152,9453
267,49,2,2053,2206,9390,7289,153,7338
268,35,2,2059,2213,10688,8595,154,8630
269,47,5,2082,2237,9014,6886,155,6933
270,32,3,2083,2239,9995,7881,156,7913
271,35,5,2087,2244,10822,8701,157,8736
272,51,3,2104,2262,10057,7903,158,7954
