Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,32,4,15,15,46,0,0,32
102,32,4,16,47,78,31,31,63
103,27,5,59,117,143,58,58,85
104,10,2,78,79,88,1,1,11
105,21,3,89,89,109,0,0,21
106,7,5,106,110,116,4,4,11
107,23,5,127,144,166,17,17,40
108,45,6,127,167,211,40,40,85
109,56,3,145,6864,6919,6719,6719,6775
110,45,4,167,212,256,45,45,90
111,51,8,202,6233,6283,6031,6031,6082
112,24,5,230,257,280,27,27,51
113,43,4,232,348,390,116,116,159
114,37,4,261,311,347,50,50,87
115,30,1,273,281,310,8,8,38
116,44,3,303,733,776,430,430,474
117,58,3,325,7259,7316,6934,6934,6992
118,69,4,341,8755,8823,8414,8414,8483
119,18,3,370,391,408,21,21,39
120,28,6,384,409,436,25,25,53
121,37,2,418,437,473,19,19,56
122,48,3,433,5499,5546,5066,5066,5114
123,32,2,448,474,505,26,26,58
124,32,2,456,528,559,72,72,104
125,40,4,476,578,617,102,102,142
126,22,5,504,506,527,2,2,24
127,41,2,530,689,729,159,159,200
128,18,2,546,560,577,14,14,32
129,31,0,589,618,648,29,29,60
130,14,3,625,649,662,24,24,38
131,60,3,634,7495,7554,6861,6861,6921
132,45,4,647,806,850,159,159,204
133,26,3,649,663,688,14,14,40
134,82,6,682,9280,9361,8598,8598,8680
135,3,6,710,730,732,20,20,23
136,17,3,737,777,793,40,40,57
137,12,3,788,794,805,6,6,18
138,59,4,793,7376,7434,6583,6583,6642
139,48,5,808,5595,5642,4787,4787,4835
140,26,5,836,903,928,67,67,93
141,8,3,844,851,858,7,7,15
142,21,4,846,859,879,13,13,34
143,23,3,876,880,902,4,4,27
144,42,2,894,949,990,55,55,97
145,20,3,914,929,948,15,15,35
146,51,7,935,6437,6487,5502,5502,5553
147,50,5,959,6033,6082,5074,5074,5124
148,22,4,977,1013,1034,36,36,58
149,40,3,980,1283,1322,303,303,343
150,48,3,980,5691,5738,4711,4711,4759
151,22,5,985,991,1012,6,6,28
152,43,5,1000,1597,1639,597,597,640
153,39,4,1017,1035,1073,18,18,57
154,65,4,1031,8425,8489,7394,7394,7459
155,23,2,1041,1074,1096,33,33,56
156,48,2,1056,5403,5450,4347,4347,4395
157,60,5,1072,7555,7614,6483,6483,6543
158,38,4,1079,1097,1134,18,18,56
159,35,4,1114,1135,1169,21,21,56
160,17,1,1142,1170,1186,28,28,45
161,25,4,1155,1200,1224,45,45,70
162,13,4,1183,1187,1199,4,4,17
163,81,0,1211,9199,9279,7988,7988,8069
164,38,5,1218,1225,1262,7,7,45
165,20,6,1229,1263,1282,34,34,54
166,46,5,1261,1990,2035,729,729,775
167,35,4,1297,1323,1357,26,26,61
168,31,0,1326,1358,1388,32,32,63
169,29,5,1353,1413,1441,60,60,89
170,34,5,1359,1474,1507,115,115,149
171,32,5,1365,1442,1473,77,77,109
172,68,5,1372,8687,8754,7315,7315,7383
173,24,4,1374,1389,1412,15,15,39
174,49,4,1400,5885,5933,4485,4485,4534
175,56,4,1435,6976,7031,5541,5541,5597
176,51,3,1460,6335,6385,4875,4875,4926
177,14,4,1504,1508,1521,4,4,18
178,34,4,1521,1522,1555,1,1,35
179,43,5,1540,1684,1726,144,144,187
180,41,4,1549,1556,1596,7,7,48
181,51,3,1583,6386,6436,4803,4803,4854
182,17,2,1605,1640,1656,35,35,52
183,43,3,1639,1894,1936,255,255,298
184,27,2,1656,1657,1683,1,1,28
185,56,3,1672,7088,7143,5416,5416,5472
186,43,3,1680,1797,1839,117,117,160
187,50,3,1696,6133,6182,4437,4437,4487
188,14,7,1718,1727,1740,9,9,23
189,33,0,1737,1741,1773,4,4,37
190,23,4,1760,1774,1796,14,14,37
191,39,4,1814,1840,1878,26,26,65
192,15,0,1854,1879,1893,25,25,40
193,46,4,1868,5216,5261,3348,3348,3394
194,13,5,1899,1937,1949,38,38,51
195,52,4,1904,6488,6539,4584,4584,4636
196,18,2,1936,1950,1967,14,14,32
197,22,1,1961,1968,1989,7,7,29
198,72,6,1990,8894,8965,6904,6904,6976
199,35,6,2007,2036,2070,29,29,64
200,43,2,2028,2395,2437,367,367,410
201,41,5,2049,2101,2141,52,52,93
202,30,0,2070,2071,2100,1,1,31
203,42,4,2079,2142,2183,63,63,105
204,60,4,2102,7435,7494,5333,5333,5393
205,44,0,2142,3383,3426,1241,1241,1285
206,25,4,2179,2184,2208,5,5,30
207,36,2,2202,2209,2244,7,7,43
208,27,4,2225,2245,2271,20,20,47
209,47,5,2238,5262,5308,3024,3024,3071
210,33,4,2249,2272,2304,23,23,56
211,46,3,2277,3959,4004,1682,1682,1728
212,43,2,2287,2305,2347,18,18,61
213,32,3,2324,2348,2379,24,24,56
214,15,5,2356,2380,2394,24,24,39
215,58,1,2373,7201,7258,4828,4828,4886
216,36,4,2399,2438,2473,39,39,75
217,64,4,2414,8296,8359,5882,5882,5946
218,62,4,2431,7798,7859,5367,5367,5429
219,35,4,2454,2490,2524,36,36,71
220,16,4,2467,2474,2489,7,7,23
221,40,1,2494,2528,2567,34,34,74
222,3,3,2523,2525,2527,2,2,5
223,31,0,2535,2568,2598,33,33,64
224,57,0,2562,7144,7200,4582,4582,4639
225,29,4,2578,2624,2652,46,46,75
226,25,3,2595,2599,2623,4,4,29
227,24,3,2629,2653,2676,24,24,48
228,44,6,2644,3268,3311,624,624,668
