Shortest job first,,,,,,,,
PID,Burst,Priority,Arrival,Start,Finish,Wait,Response,Turnaround
101,72,4,15,15,86,0,0,72
102,72,4,16,6155,6226,6139,6139,6211
103,67,5,59,430,496,371,371,438
104,50,2,78,87,136,9,9,59
105,61,3,89,184,244,95,95,156
106,47,5,106,137,183,31,31,78
107,63,5,127,245,307,118,118,181
108,85,6,127,11872,11956,11745,11745,11830
109,96,3,145,15652,15747,15507,15507,15603
110,85,4,167,11957,12041,11790,11790,11875
111,91,8,202,14339,14429,14137,14137,14228
112,64,5,230,308,371,78,78,142
113,83,4,232,11200,11282,10968,10968,11051
114,77,4,261,8153,8229,7892,7892,7969
115,70,1,273,5304,5373,5031,5031,5101
116,84,3,303,11618,11701,11315,11315,11399
117,98,3,325,15943,16040,15618,15618,15716
118,99,4,341,16041,16139,15700,15700,15799
119,58,3,370,372,429,2,2,60
120,68,6,384,497,564,113,113,181
121,77,2,418,8384,8460,7966,7966,8043
122,88,3,433,12735,12822,12302,12302,12390
123,72,2,448,6299,6370,5851,5851,5923
124,72,2,456,6083,6154,5627,5627,5699
125,80,4,476,9485,9564,9009,9009,9089
126,62,5,504,623,684,119,119,181
127,81,2,530,9887,9967,9357,9357,9438
128,58,2,546,565,622,19,19,77
129,71,0,589,5727,5797,5138,5138,5209
130,54,3,625,685,738,60,60,114
131,99,3,634,18912,19010,18278,18278,18377
132,85,4,647,11787,11871,11140,11140,11225
133,66,3,649,1837,1902,1188,1188,1254
134,99,6,682,18516,18614,17834,17834,17933
135,43,6,710,739,781,29,29,72
136,57,3,737,782,838,45,45,102
137,52,3,788,839,890,51,51,103
138,99,4,793,17229,17327,16436,16436,16535
139,88,5,808,13087,13174,12279,12279,12367
140,66,5,836,2131,2196,1295,1295,1361
141,48,3,844,891,938,47,47,95
142,61,4,846,999,1059,153,153,214
143,63,3,876,1417,1479,541,541,604
144,82,2,894,10703,10784,9809,9809,9891
145,60,3,914,939,998,25,25,85
146,91,7,935,14521,14611,13586,13586,13677
147,90,5,959,13977,14066,13018,13018,13108
148,62,4,977,1060,1121,83,83,145
149,80,3,980,9325,9404,8345,8345,8425
150,88,3,980,13263,13350,12283,12283,12371
151,62,5,985,1122,1183,137,137,199
152,83,5,1000,10868,10950,9868,9868,9951
153,79,4,1017,8850,8928,7833,7833,7912
154,99,4,1031,16437,16535,15406,15406,15505
155,63,2,1041,1354,1416,313,313,376
156,88,2,1056,12647,12734,11591,11591,11679
157,99,5,1072,16635,16733,15563,15563,15662
158,78,4,1079,8538,8615,7459,7459,7537
159,75,4,1114,7473,7547,6359,6359,6434
160,57,1,1142,1237,1293,95,95,152
161,65,4,1155,1598,1662,443,443,508
162,53,4,1183,1184,1236,1,1,54
163,99,0,1211,18021,18119,16810,16810,16909
164,78,5,1218,8616,8693,7398,7398,7476
165,60,6,1229,1294,1353,65,65,125
166,86,5,1261,12042,12127,10781,10781,10867
