Shortest job first,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,12,4,15,15,26,0,0,12
102,12,4,16,27,38,11,11,23
103,7,5,59,59,65,0,0,7
104,9,2,78,78,86,0,0,9
105,1,3,89,89,89,0,0,1
106,12,5,106,106,117,0,0,12
107,3,5,127,127,129,0,0,3
108,25,6,127,130,154,3,3,28
109,36,3,145,155,190,10,10,46
110,25,4,167,191,215,24,24,49
111,31,8,202,216,250,18,14,49
112,4,5,230,230,233,0,0,4
113,23,4,232,251,273,19,19,42
114,17,4,261,284,300,23,23,40
115,10,1,273,274,283,1,1,11
116,24,3,303,303,326,0,0,24
117,38,3,325,327,364,2,2,40
118,49,4,341,365,422,33,24,82
119,1,3,370,370,370,0,0,1
120,8,6,384,384,391,0,0,8
121,17,2,418,423,439,5,5,22
122,28,3,433,440,491,31,7,59
123,12,2,448,448,459,0,0,12
124,12,2,456,460,471,4,4,16
125,20,4,476,492,513,18,16,38
126,2,5,504,504,505,0,0,2
127,21,2,530,530,551,1,0,22
128,1,2,546,546,546,0,0,1
129,11,0,589,589,599,0,0,11
130,5,3,625,625,629,0,0,5
131,40,3,634,634,704,31,0,71
132,25,4,647,647,677,6,0,31
133,6,3,649,649,654,0,0,6
134,62,6,682,705,784,41,23,103
135,16,6,710,710,725,0,0,16
136,2,3,737,737,738,0,0,2
137,7,3,788,788,794,0,0,7
138,39,4,793,795,833,2,2,41
139,28,5,808,834,882,47,26,75
140,6,5,836,836,841,0,0,6
141,11,3,844,844,855,1,0,12
142,1,4,846,846,846,0,0,1
143,3,3,876,876,878,0,0,3
144,22,2,894,894,916,1,0,23
145,1,3,914,914,914,0,0,1
146,31,7,935,935,965,0,0,31
147,30,5,959,966,999,11,7,41
148,2,4,977,977,978,0,0,2
149,20,3,980,1000,1019,20,20,40
150,28,3,980,1111,1155,148,131,176
151,2,5,985,985,986,0,0,2
152,23,5,1000,1039,1064,42,39,65
153,19,4,1017,1020,1038,3,3,22
154,45,4,1031,1207,1270,195,176,240
155,3,2,1041,1041,1043,0,0,3
156,28,2,1056,1065,1092,9,9,37
157,40,5,1072,1161,1206,95,89,135
158,18,4,1079,1093,1110,14,14,32
159,15,4,1114,1114,1128,0,0,15
160,2,1,1142,1142,1143,0,0,2
161,5,4,1155,1156,1160,1,1,6
162,6,4,1183,1183,1188,0,0,6
163,61,0,1211,1312,1422,151,101,212
164,18,5,1218,1218,1236,1,0,19
165,1,6,1229,1229,1229,0,0,1
166,26,5,1261,1271,1296,10,10,36
167,15,4,1297,1297,1311,0,0,15
168,11,0,1326,1326,1336,0,0,11
169,9,5,1353,1353,1361,0,0,9
170,14,5,1359,1362,1375,3,3,17
171,12,5,1365,1380,1391,15,15,27
172,48,5,1372,1538,1692,273,166,321
173,4,4,1374,1376,1379,2,2,6
