Shortest job first,,,,,,,,
PID,Burst,Priority,Arrival,Start,Finish,Wait,Response,Turnaround
101,52,4,15,15,66,0,0,52
102,52,4,16,349,400,333,333,385
103,47,5,59,67,170,65,8,112
104,30,2,78,78,107,0,0,30
105,41,3,89,171,211,82,82,123
106,27,5,106,108,134,2,2,29
107,43,5,127,212,254,85,85,128
108,65,6,127,8282,8346,8155,8155,8220
109,76,3,145,10896,10971,10751,10751,10827
110,65,4,167,8347,8411,8180,8180,8245
111,71,8,202,10461,10531,10259,10259,10330
112,44,5,230,255,298,25,25,69
113,63,4,232,7963,8025,7731,7731,7794
114,57,4,261,5613,5669,5352,5352,5409
115,50,1,273,299,348,26,26,76
116,64,3,303,8090,8153,7787,7787,7851
117,78,3,325,11505,11582,11180,11180,11258
118,89,4,341,13559,13647,13218,13218,13307
119,38,3,370,401,438,31,31,69
120,48,6,384,439,486,55,55,103
121,57,2,418,5784,5840,5366,5366,5423
122,68,3,433,9211,9278,8778,8778,8846
123,52,2,448,487,538,39,39,91
124,52,2,456,1322,1373,866,866,918
125,60,4,476,6665,6724,6189,6189,6249
126,42,5,504,539,580,35,35,77
127,61,2,530,6785,6845,6255,6255,6316
128,38,2,546,581,618,35,35,73
129,51,0,589,619,703,64,30,115
130,34,3,625,625,658,0,0,34
131,80,3,634,11899,11978,11265,11265,11345
132,65,4,647,8412,8476,7765,7765,7830
133,46,3,649,704,772,78,55,124
134,99,6,682,14023,14121,13341,13341,13440
135,23,6,710,710,732,0,0,23
136,37,3,737,773,809,36,36,73
137,32,3,788,810,841,22,22,54
138,79,4,793,11661,11739,10868,10868,10947
139,68,5,808,9075,9142,8267,8267,8335
140,46,5,836,842,1166,285,6,331
141,28,3,844,844,871,0,0,28
142,41,4,846,872,912,26,26,67
143,43,3,876,913,995,77,37,120
144,62,2,894,7337,7398,6443,6443,6505
145,40,3,914,914,953,0,0,40
146,71,7,935,10390,10460,9455,9455,9526
147,70,5,959,9897,9966,8938,8938,9008
148,42,4,977,996,1037,19,19,61
149,60,3,980,6545,6604,5565,5565,5625
150,68,3,980,9279,9346,8299,8299,8367
151,42,5,985,1038,1079,53,53,95
152,63,5,1000,7585,7647,6585,6585,6648
153,59,4,1017,6366,6424,5349,5349,5408
154,85,4,1031,13044,13128,12013,12013,12098
155,43,2,1041,1080,1122,39,39,82
156,68,2,1056,9483,9550,8427,8427,8495
157,80,5,1072,11819,11898,10747,10747,10827
158,58,4,1079,6014,6071,4935,4935,4993
159,55,4,1114,2224,2465,1297,1110,1352
160,37,1,1142,1167,1203,25,25,62
161,45,4,1155,1277,1321,122,122,167
162,33,4,1183,1204,1236,21,21,54
163,99,0,1211,14221,14319,13010,13010,13109
164,58,5,1218,5898,5955,4680,4680,4738
165,40,6,1229,1237,1276,8,8,48
166,66,5,1261,8542,8607,7281,7281,7347
167,55,4,1297,2124,2178,827,827,882
168,51,0,1326,1467,1517,141,141,192
169,49,5,1353,1418,1466,65,65,114
170,54,5,1359,1604,1694,282,245,336
171,52,5,1365,1552,1603,187,187,239
172,88,5,1372,13471,13558,12099,12099,12187
173,44,4,1374,1374,1417,0,0,44
174,69,4,1400,9551,9619,8151,8151,8220
175,76,4,1435,11048,11123,9613,9613,9689
176,71,3,1460,10248,10318,8788,8788,8859
177,34,4,1504,1518,1551,14,14,48
178,54,4,1521,2020,2073,499,499,553
179,63,5,1540,7648,7710,6108,6108,6171
180,61,4,1549,6907,6967,5358,5358,5419
181,71,3,1583,10319,10389,8736,8736,8807
182,37,2,1605,1605,1641,0,0,37
183,63,3,1639,7711,7773,6072,6072,6135
184,47,2,1656,1695,1741,39,39,86
185,76,3,1672,11200,11275,9528,9528,9604
186,63,3,1680,7774,7836,6094,6094,6157
187,70,3,1696,10037,10106,8341,8341,8411
188,34,7,1718,1742,1775,24,24,58
189,53,0,1737,1819,1871,82,82,135
190,43,4,1760,1776,1818,16,16,59
191,59,4,1814,6307,6365,4493,4493,4552
192,35,0,1854,1872,1906,18,18,53
193,66,4,1868,8674,8739,6806,6806,6872
194,33,5,1899,1907,1939,8,8,41
195,72,4,1904,10604,10675,8700,8700,8772
196,38,2,1936,1940,1977,4,4,42
197,42,1,1961,1978,2019,17,17,59
198,92,6,1990,13738,13829,11748,11748,11840
199,55,6,2007,2466,2579,518,459,573
200,63,2,2028,7837,7899,5809,5809,5872
201,61,5,2049,7029,7089,4980,4980,5041
202,50,0,2070,2074,2123,4,4,54
203,62,4,2079,7399,7460,5320,5320,5382
204,80,4,2102,11979,12058,9877,9877,9957
205,64,0,2142,8154,8217,6012,6012,6076
206,45,4,2179,2179,2223,0,0,45
207,56,2,2202,5501,5556,3299,3299,3355
208,47,4,2225,2225,2271,0,0,47
209,67,5,2238,8806,8872,6568,6568,6635
210,53,4,2249,2272,2324,23,23,76
211,66,3,2277,8740,8805,6463,6463,6529
212,63,2,2287,7900,7962,5613,5613,5676
213,52,3,2324,2325,2376,1,1,53
214,35,5,2356,2377,2411,21,21,56
215,78,1,2373,11583,11660,9210,9210,9288
216,56,4,2399,5557,5612,3158,3158,3214
217,84,4,2414,12960,13043,10546,10546,10630
218,82,4,2431,12548,12629,10117,10117,10199
219,55,4,2454,3727,3817,1309,1273,1364
220,36,4,2467,2467,2502,0,0,36
221,60,1,2494,6425,6484,3931,3931,3991
222,23,3,2523,2523,2545,0,0,23
223,51,0,2535,2718,2768,183,183,234
224,77,0,2562,11428,11504,8866,8866,8943
225,49,4,2578,2580,2628,2,2,51
226,45,3,2595,2673,2717,78,78,123
227,44,3,2629,2629,2672,0,0,44
228,64,6,2644,8026,8089,5382,5382,5446
229,52,3,2652,3112,3163,460,460,512
230,55,4,2679,3404,3458,725,725,780
231,56,2,2701,3818,3922,1166,1117,1222
232,85,4,2727,13129,13213,10402,10402,10487
233,51,4,2731,3061,3111,330,330,381
234,54,3,2753,3350,3403,597,597,651
235,30,4,2759,2769,2798,10,10,40
236,46,4,2773,2799,2844,26,26,72
237,58,2,2811,5956,6013,3145,3145,3203
238,76,4,2827,11276,11351,8449,8449,8525
239,50,3,2842,2845,2894,3,3,53
240,39,2,2860,2895,2962,64,35,103
241,62,3,2876,7151,7212,4275,4275,4337
242,83,4,2881,12877,12959,9996,9996,10079
243,29,3,2900,2900,2928,0,0,29
244,60,5,2914,6485,6544,3571,3571,3631
245,46,0,2941,2963,3008,22,22,68
246,68,4,2979,9143,9210,6164,6164,6232
247,40,6,3002,3009,3048,7,7,47
248,70,4,3024,9827,9896,6803,6803,6873
249,85,4,3035,13214,13298,10179,10179,10264
250,12,2,3049,3049,3060,0,0,12
251,62,2,3078,7213,7274,4135,4135,4197
252,82,6,3100,12712,12793,9612,9612,9694
253,52,3,3119,3164,3215,45,45,97
254,86,4,3149,13385,13470,10236,10236,10322
255,45,4,3178,3216,3260,38,38,83
256,57,5,3201,5727,5783,2526,2526,2583
257,76,4,3218,11124,11199,7906,7906,7982
258,40,3,3244,3261,3300,17,17,57
259,66,3,3267,8608,8673,5341,5341,5407
260,49,1,3296,3301,3349,5,5,54
261,62,3,3316,7275,7336,3959,3959,4021
262,69,3,3362,9620,9688,6258,6258,6327
263,69,4,3366,9689,9757,6323,6323,6392
264,90,5,3395,13648,13737,10253,10253,10343
265,59,6,3404,6130,6188,2726,2726,2785
266,81,6,3431,12140,12220,8709,8709,8790
267,59,2,3436,6189,6247,2753,2753,2812
268,45,2,3452,3459,3503,7,7,52
269,57,5,3485,5670,5726,2185,2185,2242
270,42,3,3493,3504,3545,11,11,53
271,45,5,3507,3546,3590,39,39,84
272,61,3,3534,6968,7028,3434,3434,3495
273,47,1,3552,3630,3676,78,78,125
274,39,3,3585,3591,3629,6,6,45
275,73,7,3602,10749,10821,7147,7147,7220
276,56,3,3628,5389,5444,1761,1761,1817
277,58,3,3649,6072,6129,2423,2423,2481
278,50,5,3657,3677,3726,20,20,70
279,56,6,3677,5445,5500,1768,1768,1824
280,70,4,3694,10107,10176,6413,6413,6483
281,36,4,3740,3740,3775,0,0,36
282,81,4,3772,12059,12139,8287,8287,8368
283,59,2,3788,6248,6306,2460,2460,2519
284,40,6,3824,3824,3863,0,0,40
285,81,4,3831,12221,12301,8390,8390,8471
