Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,22,2,15,15,36,0,0,22
102,22,2,16,37,58,21,21,43
103,17,3,59,59,75,0,0,17
104,1,0,78,78,78,0,0,1
105,11,1,89,89,99,0,0,11
106,2,3,106,106,107,0,0,2
107,13,3,127,127,139,0,0,13
108,35,4,127,140,174,13,13,48
109,46,1,145,175,220,30,30,76
110,35,2,167,221,255,54,54,89
111,41,6,202,6956,6996,6754,6754,6795
112,14,3,230,790,803,560,560,574
113,33,2,232,256,288,24,24,57
114,27,2,261,289,315,28,28,55
115,20,3,273,5402,5421,5129,5129,5149
116,34,1,303,316,349,13,13,47
117,48,1,325,350,397,25,25,73
118,59,2,341,406,464,65,65,124
119,8,1,370,398,405,28,28,36
120,18,4,384,6146,6163,5762,5762,5780
121,27,0,418,465,491,47,47,74
122,38,1,433,575,612,142,142,180
123,22,0,448,492,513,44,44,66
124,22,0,456,514,535,58,58,80
125,30,2,476,613,642,137,137,167
126,12,3,504,776,787,272,272,284
127,31,0,530,536,566,6,6,37
128,8,0,546,567,574,21,21,29
129,21,2,589,713,733,124,124,145
130,4,1,625,643,646,18,18,22
131,50,1,634,647,696,13,13,63
132,35,2,647,734,768,87,87,122
133,16,1,649,697,712,48,48,64
134,72,4,682,6589,6660,5907,5907,5979
135,6,4,710,6661,6666,5951,5951,5957
136,7,1,737,769,775,32,32,39
137,2,1,788,788,789,0,0,2
138,49,2,793,804,852,11,11,60
139,38,3,808,936,973,128,128,166
140,16,3,836,865,880,29,29,45
141,1,1,844,853,853,9,9,10
142,11,2,846,854,864,8,8,19
143,13,1,876,881,893,5,5,18
144,32,0,894,894,925,0,0,32
145,10,1,914,926,935,12,12,22
146,41,5,935,6772,6812,5837,5837,5878
147,40,3,959,974,1013,15,15,55
148,12,2,977,1282,1293,305,305,317
149,30,1,980,1014,1043,34,34,64
150,38,1,980,1095,1132,115,115,153
151,12,3,985,2008,2019,1023,1023,1035
152,33,3,1000,5929,5961,4929,4929,4962
153,29,2,1017,1294,1322,277,277,306
154,55,2,1031,1323,1377,292,292,347
155,13,0,1041,1044,1056,3,3,16
156,38,0,1056,1057,1094,1,1,39
157,50,3,1072,5706,5755,4634,4634,4684
158,28,2,1079,1165,1192,86,86,114
159,25,2,1114,1133,1157,19,19,44
160,7,0,1142,1158,1164,16,16,23
161,15,2,1155,1196,1210,41,41,56
162,3,2,1183,1193,1195,10,10,13
163,71,1,1211,1211,1281,0,0,71
164,28,3,1218,5997,6024,4779,4779,4807
165,10,4,1229,6111,6120,4882,4882,4892
166,36,3,1261,5230,5265,3969,3969,4005
167,25,2,1297,1983,2007,686,686,711
168,21,1,1326,1378,1398,52,52,73
169,19,3,1353,6092,6110,4739,4739,4758
170,24,3,1359,5603,5626,4244,4244,4268
171,22,3,1365,5360,5381,3995,3995,4017
172,58,3,1372,2020,2077,648,648,706
173,14,2,1374,1399,1412,25,25,39
174,39,2,1400,1413,1451,13,13,52
175,46,2,1435,1452,1497,17,17,63
176,41,1,1460,1498,1538,38,38,79
177,4,2,1504,1539,1542,35,35,39
178,24,2,1521,1543,1566,22,22,46
179,33,3,1540,5327,5359,3787,3787,3820
180,31,2,1549,1567,1597,18,18,49
181,41,1,1583,1598,1638,15,15,56
182,7,0,1605,1639,1645,34,34,41
183,33,1,1639,1646,1678,7,7,40
184,17,0,1656,1679,1695,23,23,40
185,46,1,1672,1696,1741,24,24,70
186,33,1,1680,1742,1774,62,62,95
187,40,1,1696,1775,1814,79,79,119
188,4,5,1718,6813,6816,5095,5095,5099
189,23,1,1737,1815,1837,78,78,101
190,13,2,1760,1838,1850,78,78,91
191,29,2,1814,1851,1879,37,37,66
192,5,1,1854,1880,1884,26,26,31
193,36,2,1868,1885,1920,17,17,53
194,3,3,1899,5836,5838,3937,3937,3940
195,42,2,1904,1921,1962,17,17,59
196,8,0,1936,1963,1970,27,27,35
197,12,0,1961,1971,1982,10,10,22
198,62,4,1990,6230,6291,4240,4240,4302
199,25,4,2007,6121,6145,4114,4114,4139
200,33,0,2028,2078,2110,50,50,83
201,31,3,2049,5266,5296,3217,3217,3248
202,20,1,2070,2111,2130,41,41,61
203,32,2,2079,2131,2162,52,52,84
204,50,2,2102,2255,2304,153,153,203
205,34,1,2142,2163,2196,21,21,55
206,15,2,2179,2197,2211,18,18,33
207,26,0,2202,2212,2237,10,10,36
208,17,2,2225,2238,2254,13,13,30
209,37,3,2238,5669,5705,3431,3431,3468
210,23,2,2249,3622,3644,1373,1373,1396
211,36,1,2277,2338,2373,61,61,97
212,33,0,2287,2305,2337,18,18,51
213,22,1,2324,2422,2443,98,98,120
214,5,3,2356,5452,5456,3096,3096,3101
215,48,0,2373,2374,2421,1,1,49
216,26,2,2399,3764,3789,1365,1365,1391
217,54,2,2414,2559,2612,145,145,199
218,52,2,2431,2444,2495,13,13,65
219,25,2,2454,4095,4119,1641,1641,1666
220,6,2,2467,2532,2537,65,65,71
221,30,0,2494,2496,2525,2,2,32
222,6,1,2523,2526,2531,3,3,9
223,21,1,2535,2538,2558,3,3,24
224,47,1,2562,2613,2659,51,51,98
225,19,2,2578,3739,3757,1161,1161,1180
226,15,1,2595,2660,2674,65,65,80
227,14,1,2629,2675,2688,46,46,60
228,34,4,2644,6443,6476,3799,3799,3833
229,22,1,2652,2689,2710,37,37,59
230,25,2,2679,4040,4064,1361,1361,1386
231,26,0,2701,2711,2736,10,10,36
