Single-queue Priority,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,22,7,15,15,36,0,0,22
102,22,7,16,37,58,21,21,43
103,17,8,59,59,75,0,0,17
104,1,5,78,78,78,0,0,1
105,11,6,89,89,99,0,0,11
106,2,8,106,106,107,0,0,2
107,13,8,127,127,139,0,0,13
108,35,9,127,140,6738,6577,13,6612
109,46,6,145,145,190,0,0,46
110,35,7,167,191,225,24,24,59
111,41,9,202,226,6360,6118,24,6159
112,14,8,230,230,783,540,0,554
113,33,7,232,232,264,0,0,33
114,27,7,261,265,401,114,4,141
115,20,1,273,273,292,0,0,20
116,34,6,303,303,336,0,0,34
117,48,6,325,337,384,12,12,60
118,59,7,341,402,771,372,61,431
119,8,6,370,385,392,15,15,23
120,18,9,384,6462,6479,6078,6078,6096
121,27,5,418,418,444,0,0,27
122,38,6,433,445,526,56,12,94
123,22,5,448,448,469,0,0,22
124,22,5,456,470,491,14,14,36
125,30,7,476,527,616,111,51,141
126,12,8,504,784,5193,4678,280,4690
127,31,5,530,530,560,0,0,31
128,8,5,546,561,568,15,15,23
129,21,2,589,589,609,0,0,21
130,4,6,625,625,628,0,0,4
131,50,6,634,634,683,0,0,50
132,35,7,647,700,734,53,53,88
133,16,6,649,684,699,35,35,51
134,72,9,682,6830,6901,6148,6148,6220
135,6,9,710,6431,6436,5721,5721,5727
136,7,6,737,737,743,0,0,7
137,2,6,788,788,789,0,0,2
138,49,7,793,793,841,0,0,49
139,38,8,808,842,962,117,34,155
140,16,8,836,936,951,100,100,116
141,1,6,844,844,844,0,0,1
142,11,7,846,846,856,0,0,11
143,13,6,876,876,888,0,0,13
144,32,5,894,894,925,0,0,32
145,10,6,914,926,935,12,12,22
146,41,9,935,6506,6546,5571,5571,5612
147,40,8,959,963,2004,1006,4,1046
148,12,7,977,977,1107,119,0,131
149,30,6,980,980,1009,0,0,30
150,38,6,980,1010,1098,81,30,119
151,12,8,985,5766,5777,4781,4781,4793
152,33,8,1000,4244,5453,4421,3244,4454
153,29,7,1017,1149,1177,132,132,161
154,55,7,1031,1286,1361,276,255,331
155,13,5,1041,1041,1053,0,0,13
156,38,5,1056,1056,1093,0,0,38
157,50,8,1072,5578,5627,4506,4506,4556
158,28,7,1079,1108,1135,29,29,57
159,25,7,1114,1136,1285,147,22,172
160,7,4,1142,1142,1148,0,0,7
161,15,7,1155,1178,1192,23,23,38
162,3,7,1183,1193,1195,10,10,13
163,71,3,1211,1211,1281,0,0,71
164,28,8,1218,6025,6052,4807,4807,4835
165,10,9,1229,6314,6323,5085,5085,5095
166,36,8,1261,4272,5293,3997,3011,4033
167,25,7,1297,1362,1386,65,65,90
168,21,3,1326,1326,1346,0,0,21
169,19,8,1353,6058,6076,4705,4705,4724
170,24,8,1359,5742,5765,4383,4383,4407
171,22,8,1365,4222,4243,2857,2857,2879
172,58,8,1372,5294,5351,3922,3922,3980
173,14,7,1374,1387,1400,13,13,27
174,39,7,1400,1401,1439,1,1,40
175,46,7,1435,1440,1526,46,5,92
176,41,6,1460,1460,1500,0,0,41
177,4,7,1504,1527,1530,23,23,27
178,24,7,1521,1531,1554,10,10,34
179,33,8,1540,1634,6057,4485,94,4518
180,31,7,1549,1555,1633,54,6,85
181,41,6,1583,1583,1630,7,0,48
182,7,5,1605,1605,1611,0,0,7
183,33,6,1639,1639,1688,17,0,50
184,17,5,1656,1656,1672,0,0,17
185,46,6,1672,1689,1734,17,17,63
186,33,6,1680,1735,1790,78,55,111
187,40,6,1696,1791,1830,95,95,135
188,4,9,1718,6164,6167,4446,4446,4450
189,23,3,1737,1737,1759,0,0,23
190,13,7,1760,1831,1843,71,71,84
191,29,7,1814,1844,1877,35,30,64
192,5,3,1854,1854,1858,0,0,5
193,36,7,1868,1878,1913,10,10,46
194,3,8,1899,1976,1978,77,77,80
195,42,7,1904,1914,1975,30,10,72
196,8,5,1936,1936,1943,0,0,8
197,12,4,1961,1961,1972,0,0,12
198,62,9,1990,6739,6800,4749,4749,4811
199,25,9,2007,6437,6461,4430,4430,4455
200,33,5,2028,2028,2060,0,0,33
201,31,8,2049,2061,5373,3294,12,3325
202,20,3,2070,2070,2089,0,0,20
203,32,7,2079,2090,2121,11,11,43
204,50,7,2102,2122,2231,80,20,130
205,34,3,2142,2142,2175,0,0,34
206,15,7,2179,2232,2246,53,53,68
207,26,5,2202,2202,2227,0,0,26
208,17,7,2225,2247,2263,22,22,39
209,37,8,2238,5395,5431,3157,3157,3194
210,23,7,2249,2264,2425,154,15,177
211,36,6,2277,2277,2345,33,0,69
212,33,5,2287,2287,2319,0,0,33
213,22,6,2324,2346,2367,22,22,44
214,5,8,2356,5778,5782,3422,3422,3427
215,48,4,2373,2373,2420,0,0,48
216,26,7,2399,2426,2451,27,27,53
217,54,7,2414,2452,3769,1302,38,1356
218,52,7,2431,2727,2802,320,296,372
219,25,7,2454,2530,2687,209,76,234
220,6,7,2467,3770,3775,1303,1303,1309
221,30,4,2494,2494,2523,0,0,30
222,6,6,2523,2524,2529,1,1,7
223,21,3,2535,2535,2555,0,0,21
224,47,3,2562,2562,2608,0,0,47
225,19,7,2578,2624,4016,1420,46,1439
226,15,6,2595,2609,2623,14,14,29
227,14,6,2629,2629,2642,0,0,14
228,34,9,2644,6168,6201,3524,3524,3558
229,22,6,2652,2652,2673,0,0,22
230,25,7,2679,2688,3766,1063,9,1088
231,26,5,2701,2701,2726,0,0,26
232,55,7,2727,4040,4108,1327,1313,1382
233,21,7,2731,2803,2983,232,72,253
234,24,6,2753,2753,2776,0,0,24
235,1,7,2759,2957,2957,198,198,199
236,16,7,2773,3030,3045,257,257,273
237,28,5,2811,2811,2838,0,0,28
238,46,7,2827,2984,3029,157,157,203
239,20,6,2842,2842,2870,9,0,29
240,9,5,2860,2860,2868,0,0,9
241,32,6,2876,2876,2907,0,0,32
242,53,7,2881,2909,2978,45,28,98
243,1,6,2900,2908,2908,8,8,9
244,30,8,2914,5697,5726,2783,2783,2813
245,16,3,2941,2941,2956,0,0,16
246,38,7,2979,3046,3154,138,67,176
247,10,9,3002,6547,6556,3545,3545,3555
248,40,7,3024,3155,3194,131,131,171
249,55,7,3035,3195,3259,170,160,225
250,17,5,3049,3049,3065,0,0,17
251,32,5,3078,3078,3109,0,0,32
252,52,9,3100,6085,6136,2985,2985,3037
253,22,6,3119,3119,3140,0,0,22
254,56,7,3149,3260,3708,504,111,560
255,15,7,3178,3595,3609,417,417,432
256,27,8,3201,5262,5288,2061,2061,2088
257,46,7,3218,3480,3594,331,262,377
258,10,6,3244,3244,3253,0,0,10
259,36,6,3267,3267,3321,19,0,55
260,19,4,3296,3296,3314,0,0,19
261,32,6,3316,3322,3353,6,6,38
262,39,6,3362,3362,3400,0,0,39
263,39,7,3366,3610,3702,298,244,337
264,60,8,3395,5518,5577,2123,2123,2183
265,29,9,3404,6801,6829,3397,3397,3426
266,51,9,3431,6658,6708,3227,3227,3278
267,29,5,3436,3436,3464,0,0,29
268,15,5,3452,3465,3479,13,13,28
269,27,8,3485,5628,5654,2143,2143,2170
270,12,6,3493,3493,3504,0,0,12
271,15,8,3507,5727,5741,2220,2220,2235
272,31,6,3534,3534,3581,17,0,48
273,17,4,3552,3552,3568,0,0,17
274,9,6,3585,3585,3593,0,0,9
275,43,9,3602,6902,6944,3300,3300,3343
276,26,6,3628,3628,3653,0,0,26
277,28,6,3649,3654,3681,5,5,33
278,20,8,3657,5454,5473,1797,1797,1817
279,26,9,3677,6480,6505,2803,2803,2829
280,40,7,3694,3709,3748,15,15,55
281,6,7,3740,3749,3754,9,9,15
282,51,7,3772,3776,3855,33,4,84
283,29,5,3788,3788,3816,0,0,29
284,10,9,3824,6558,6567,2734,2734,2744
285,51,7,3831,3856,3906,25,25,76
286,42,8,3848,5655,5696,1807,1807,1849
287,65,8,3849,5783,5847,1934,1934,1999
288,56,9,3873,6568,6623,2695,2695,2751
289,20,7,3894,3907,3926,13,13,33
290,1,9,3902,6557,6557,2655,2655,2656
291,15,4,3929,3929,3943,0,0,15
292,40,6,3942,3944,3983,2,2,42
293,23,7,3977,4017,4039,40,40,63
294,21,3,3988,3988,4008,0,0,21
295,15,8,4017,4125,5487,1456,108,1471
296,34,9,4022,6624,6657,2602,2602,2636
297,16,7,4058,4109,4124,51,51,67
298,14,6,4066,4066,4079,0,0,14
299,24,6,4126,4126,4167,18,0,42
300,22,6,4132,4168,4189,36,36,58
301,18,4,4132,4132,4149,0,0,18
302,15,7,4134,4207,4221,73,73,88
303,3,6,4162,4190,4192,28,28,31
304,14,6,4180,4193,4206,13,13,27
305,21,8,4196,5374,5394,1178,1178,1199
306,52,9,4225,6945,6996,2720,2720,2772
307,17,6,4255,4255,4271,0,0,17
308,30,8,4278,5488,5517,1210,1210,1240
