First-come first-served,,
"PID","Burst","Priority","Arrival","Start","Finish","Wait","Response","Turnaround"
101,12,4,5,5,16,0,0,12
102,12,4,13,17,28,4,4,16
103,7,5,46,46,52,0,0,7
104,9,2,55,55,63,0,0,9
105,1,3,56,64,64,8,8,9
106,12,5,63,65,76,2,2,14
107,3,5,74,77,79,3,3,6
108,25,6,84,84,108,0,0,25
109,36,3,92,109,144,17,17,53
110,25,4,104,145,169,41,41,66
111,31,8,129,170,200,41,41,72
112,4,5,147,201,204,54,54,58
113,23,4,159,205,227,46,46,69
114,17,4,178,228,244,50,50,67
115,10,1,180,245,254,65,65,75
116,24,3,200,255,278,55,55,79
117,38,3,212,279,316,67,67,105
118,49,4,218,317,365,99,99,148
119,1,3,237,366,366,129,129,130
120,8,6,241,367,374,126,126,134
121,17,2,265,375,391,110,110,127
122,28,3,270,392,419,122,122,150
123,12,2,275,420,431,145,145,157
124,12,2,276,432,443,156,156,168
125,20,4,286,444,463,158,158,178
126,2,5,304,464,465,160,160,162
127,21,2,320,466,486,146,146,167
128,1,2,326,487,487,161,161,162
129,11,0,359,488,498,129,129,140
130,5,3,385,499,503,114,114,119
131,40,3,385,504,543,119,119,159
132,25,4,388,544,568,156,156,181
133,6,3,395,569,574,174,174,180
134,62,6,418,575,636,157,157,219
135,16,6,436,637,652,201,201,217
136,2,3,453,653,654,200,200,202
137,7,3,494,655,661,161,161,168
138,39,4,509,662,700,153,153,192
139,28,5,514,701,728,187,187,215
140,6,5,532,729,734,197,197,203
141,11,3,533,735,745,202,202,213
142,1,4,540,746,746,206,206,207
143,3,3,560,747,749,187,187,190
144,22,2,568,750,771,182,182,204
145,1,3,578,772,772,194,194,195
146,31,7,589,773,803,184,184,215
147,30,5,603,804,833,201,201,231
148,2,4,611,834,835,223,223,225
149,20,3,624,836,855,212,212,232
150,28,3,633,856,883,223,223,251
151,2,5,648,884,885,236,236,238
152,23,5,653,886,908,233,233,256
153,19,4,660,909,927,249,249,268
154,45,4,664,928,972,264,264,309
155,3,2,664,973,975,309,309,312
156,28,2,669,976,1003,307,307,335
157,40,5,675,1004,1043,329,329,369
158,18,4,677,1044,1061,367,367,385
159,15,4,702,1062,1076,360,360,375
160,2,1,720,1077,1078,357,357,359
161,5,4,723,1079,1083,356,356,361
162,6,4,741,1084,1089,343,343,349
163,61,0,759,1090,1150,331,331,392
164,18,5,761,1151,1168,390,390,408
165,1,6,762,1169,1169,407,407,408
166,26,5,784,1170,1195,386,386,412
167,15,4,810,1196,1210,386,386,401
168,11,0,829,1211,1221,382,382,393
169,9,5,846,1222,1230,376,376,385
170,14,5,849,1231,1244,382,382,396
171,12,5,852,1245,1256,393,393,405
172,48,5,854,1257,1304,403,403,451
173,4,4,866,1305,1308,439,439,443
174,29,4,882,1309,1337,427,427,456
175,36,4,907,1338,1373,431,431,467
176,31,3,922,1374,1404,452,452,483
177,5,4,956,1405,1409,449,449,454
178,14,4,963,1410,1423,447,447,461
179,23,5,972,1424,1446,452,452,475
180,21,4,972,1447,1467,475,475,496
181,31,3,996,1468,1498,472,472,503
182,2,2,1008,1499,1500,491,491,493
183,23,3,1032,1501,1523,469,469,492
184,7,2,1039,1524,1530,485,485,492
185,36,3,1045,1531,1566,486,486,522
186,23,3,1046,1567,1589,521,521,544
187,30,3,1052,1590,1619,538,538,568
188,5,7,1064,1620,1624,556,556,561
189,13,0,1073,1625,1637,552,552,565
190,3,4,1086,1638,1640,552,552,555
191,19,4,1130,1641,1659,511,511,530
192,4,0,1160,1660,1663,500,500,504
193,26,4,1164,1664,1689,500,500,526
194,6,5,1185,1690,1695,505,505,511
195,32,4,1189,1696,1727,507,507,539
196,1,2,1211,1728,1728,517,517,518
197,2,1,1226,1729,1730,503,503,505
198,52,6,1245,1731,1782,486,486,538
199,15,6,1252,1783,1797,531,531,546
200,23,2,1263,1798,1820,535,535,558
201,21,5,1274,1821,1841,547,547,568
202,10,0,1285,1842,1851,557,557,567
203,22,4,1285,1852,1873,567,567,589
204,40,4,1298,1874,1913,576,576,616
205,24,0,1328,1914,1937,586,586,610
206,5,4,1355,1938,1942,583,583,588
207,16,2,1368,1943,1958,575,575,591
208,7,4,1381,1959,1965,578,578,585
209,27,5,1384,1966,1992,582,582,609
210,13,4,1385,1993,2005,608,608,621
211,26,3,1403,2006,2031,603,603,629
212,23,2,1403,2032,2054,629,629,652
213,12,3,1430,2055,2066,625,625,637
214,4,5,1452,2067,2070,615,615,619
215,38,1,1459,2071,2108,612,612,650
216,16,4,1475,2109,2124,634,634,650
217,44,4,1480,2125,2168,645,645,689
218,42,4,1487,2169,2210,682,682,724
219,15,4,1500,2211,2225,711,711,726
220,3,4,1503,2226,2228,723,723,726
221,20,1,1520,2229,2248,709,709,729
222,16,3,1539,2249,2264,710,710,726
223,11,0,1541,2265,2275,724,724,735
224,37,0,1558,2276,2312,718,718,755
225,9,4,1564,2313,2321,749,749,758
226,5,3,1571,2322,2326,751,751,756
227,4,3,1595,2327,2330,732,732,736
228,24,6,1600,2331,2354,731,731,755
229,12,3,1601,2355,2366,754,754,766
230,15,4,1618,2367,2381,749,749,764
231,16,2,1630,2382,2397,752,752,768
232,45,4,1646,2398,2442,752,752,797
233,11,4,1651,2443,2453,792,792,803
234,14,3,1663,2454,2467,791,791,805
235,9,4,1666,2468,2476,802,802,811
236,6,4,1670,2477,2482,807,807,813
237,18,2,1698,2483,2500,785,785,803
238,36,4,1704,2501,2536,797,797,833
239,10,3,1709,2537,2546,828,828,838
240,1,2,1717,2547,2547,830,830,831
241,22,3,1723,2548,2569,825,825,847
242,43,4,1727,2570,2612,843,843,886
243,10,3,1736,2613,2622,877,877,887
244,20,5,1740,2623,2642,883,883,903
245,6,0,1757,2643,2648,886,886,892
246,28,4,1785,2649,2676,864,864,892
247,1,6,1798,2677,2677,879,879,880
248,30,4,1810,2678,2707,868,868,898
249,45,4,1811,2708,2752,897,897,942
250,27,2,1815,2753,2779,938,938,965
251,22,2,1834,2780,2801,946,946,968
252,42,6,1846,2802,2843,956,956,998
253,12,3,1855,2844,2855,989,989,1001
254,46,4,1875,2856,2901,981,981,1027
255,5,4,1894,2902,2906,1008,1008,1013
256,17,5,1907,2907,2923,1000,1000,1017
257,36,4,1914,2924,2959,1010,1010,1046
258,1,3,1930,2960,2960,1030,1030,1031
259,26,3,1943,2961,2986,1018,1018,1044
260,9,1,1962,2987,2995,1025,1025,1034
261,22,3,1972,2996,3017,1024,1024,1046
262,29,3,2008,3018,3046,1010,1010,1039
263,29,4,2013,3047,3075,1034,1034,1063
264,50,5,2032,3076,3125,1044,1044,1094
265,19,6,2032,3126,3144,1094,1094,1113
266,41,6,2049,3145,3185,1096,1096,1137
267,19,2,2053,3186,3204,1133,1133,1152
268,5,2,2059,3205,3209,1146,1146,1151
269,17,5,2082,3210,3226,1128,1128,1145
270,2,3,2083,3227,3228,1144,1144,1146
271,5,5,2087,3229,3233,1142,1142,1147
272,21,3,2104,3234,3254,1130,1130,1151
273,7,1,2112,3255,3261,1143,1143,1150
274,1,3,2135,3262,3262,1127,1127,1128
275,33,7,2142,3263,3295,1121,1121,1154
276,16,3,2158,3296,3311,1138,1138,1154
277,18,3,2169,3312,3329,1143,1143,1161
278,10,5,2170,3330,3339,1160,1160,1170
279,16,6,2180,3340,3355,1160,1160,1176
280,30,4,2187,3356,3385,1169,1169,1199
281,3,4,2223,3386,3388,1163,1163,1166
282,41,4,2245,3389,3429,1144,1144,1185
283,19,2,2251,3430,3448,1179,1179,1198
284,1,6,2277,3449,3449,1172,1172,1173
285,41,4,2279,3450,3490,1171,1171,1212
286,32,5,2286,3491,3522,1205,1205,1237
287,55,5,2294,3523,3577,1229,1229,1284
288,46,6,2308,3578,3623,1270,1270,1316
289,30,4,2319,3624,3653,1305,1305,1335
290,11,7,2320,3654,3664,1334,1334,1345
291,5,1,2337,3665,3669,1328,1328,1333
292,30,3,2340,3670,3699,1330,1330,1360
293,13,4,2365,3700,3712,1335,1335,1348
294,11,0,2366,3713,3723,1347,1347,1358
295,5,5,2385,3724,3728,1339,1339,1344
296,24,6,2389,3729,3752,1340,1340,1364
297,6,4,2415,3753,3758,1338,1338,1344
298,4,3,2416,3759,3762,1343,1343,1347
299,14,3,2466,3763,3776,1297,1297,1311
300,12,3,2482,3777,3788,1295,1295,1307
301,8,1,2491,3789,3796,1298,1298,1306
302,5,4,2498,3797,3801,1299,1299,1304
303,6,3,2516,3802,3807,1286,1286,1292
304,4,3,2524,3808,3811,1284,1284,1288
305,11,5,2530,3812,3822,1282,1282,1293
306,42,7,2549,3823,3864,1274,1274,1316
307,7,3,2569,3865,3871,1296,1296,1303
308,20,5,2602,3872,3891,1270,1270,1290
309,22,4,2617,3892,3913,1275,1275,1297
310,5,3,2624,3914,3918,1290,1290,1295
311,5,3,2629,3919,3923,1290,1290,1295
312,28,2,2643,3924,3951,1281,1281,1309
313,11,4,2651,3952,3962,1301,1301,1312
314,42,5,2654,3963,4004,1309,1309,1351
315,20,1,2654,4005,4024,1351,1351,1371
316,2,2,2663,4025,4026,1362,1362,1364
317,14,4,2672,4027,4040,1355,1355,1369
318,29,4,2689,4041,4069,1352,1352,1381
319,28,5,2702,4070,4097,1368,1368,1396
320,58,6,2703,4098,4155,1395,1395,1453
321,21,2,2714,4156,4176,1442,1442,1463
322,5,3,2728,4177,4181,1449,1449,1454
323,60,6,2737,4182,4241,1445,1445,1505
324,36,0,2749,4242,4277,1493,1493,1529
325,25,5,2752,4278,4302,1526,1526,1551
326,17,6,2753,4303,4319,1550,1550,1567
327,42,5,2756,4320,4361,1564,1564,1606
328,2,4,2779,4362,4363,1583,1583,1585
329,33,2,2808,4364,4396,1556,1556,1589
330,36,4,2831,4397,4432,1566,1566,1602
331,34,7,2857,4433,4466,1576,1576,1610
332,27,2,2866,4467,4493,1601,1601,1628
333,22,4,2885,4494,4515,1609,1609,1631
334,15,1,2890,4516,4530,1626,1626,1641
335,28,0,2893,4531,4558,1638,1638,1666
336,7,5,2901,4559,4565,1658,1658,1665
337,42,4,2907,4566,4607,1659,1659,1701
338,8,3,2908,4608,4615,1700,1700,1708
339,39,1,2925,4616,4654,1691,1691,1730
340,18,5,2944,4655,4672,1711,1711,1729
341,31,2,2946,4673,4703,1727,1727,1758
342,27,2,2954,4704,4730,1750,1750,1777
343,21,4,2959,4731,4751,1772,1772,1793
344,13,4,2973,4752,4764,1779,1779,1792
345,43,5,2980,4765,4807,1785,1785,1828
346,6,2,2994,4808,4813,1814,1814,1820
347,1,3,3008,4814,4814,1806,1806,1807
348,8,3,3014,4815,4822,1801,1801,1809
349,14,3,3015,4823,4836,1808,1808,1822
350,5,5,3025,4837,4841,1812,1812,1817
,,,,,,,,
,,,,,Min,0,0,6
,,,,,Mean,787.80,787.80,807.06
,,,,,Max,1814,1814,1828
,,,,,StdDev,941.27,941.27,941.96
